equipment_type,equipment_id,engine_power,operating_weight,bucket_capacity,payload_capacity,maximum_dig_depth,rated_operating_load,blade_capacity,blade_width,
dozers,D31EX-22,58 kW / 78 HP,"7,670 kg",,,,,1.61 m³,,
dozers,D39EX-22,79 kW / 105 HP,"9,040 kg",,,,,2.3 m³,,
dozers,D51EX/PX-22,97 kW / 130 HP,"12,710 kg",,,,,2.9 m³,,
dozers,D61EXi/PXi-23,125 kW / 168 HP,"17,890 kg",,,,,3.8 m³,,
dozers,D61EXi/PXi-24,125 kW / 168 HP,"19,647 kg",,,,,3.37 m³,,
dozers,D65EX/PX/WX-16,153 kW / 205 HP,"19,510 kg",,,,,4.42 m³,,
dozers,D65EXi/PXi-18,162 kW / 217 HP,"23,373 kg",,,,,5.6 m³,,
dozers,D85EX/PX-15E0,197 kW / 264 HP,"28,100 kg",,,,,5.9 m³,,
dozers,D85EXi/PXi-18,197 kW / 264 HP,"29,520 kg",,,,,5.9 m³,,
dozers,D155AX-6,264 kW / 354 HP,"39,500 kg",,,,,9.4 m³,,
dozers,D155AXi-8,264 kW / 354 HP,"41,100 kg",,,,,9.4 m³,,
dozers,D275AX-5E0,335 kW / 449 HP,"51,530 kg",,,,,13.7 m³,,
dozers,D375A-8,455 kW / 610 HP,"72,900 kg",,,,,22 m³,,
dozers,D475A-5E0,664 kW / 890 HP,"108,390 kg",,,,,34.4 m³,,
dozers,D475ASD-5E0,664 kW / 890 HP,"113,200 kg",,,,,45 m³,,
motor-graders,GD555-5,144 kW / 193 HP,"18,120 kg",,,,,,"3,710 mm",
motor-graders,GD655-7,163 kW / 218 HP,"20,200 kg",,,,,,4.3 mm,
motor-graders,GD825A-2,209 kW / 280 HP,"26,350 kg",,,,,,"4,878 mm",
crushers,BR380JG-1E0,,,,,,,,,
